time,open,high,low,close,volume
1704194340,16744.92,16747.42,16737.92,16746.81,857
1704194400,16746.81,16752.8,16745.29,16751.81,577
1704194460,16751.81,16755.04,16749.06,16749.68,462
1704194520,16749.68,16752.68,16744.56,16744.66,403
1704194580,16744.66,16751.06,16743.31,16743.67,443
1704194640,16743.67,16747.56,16738.05,16747.29,471
1704194700,16747.29,16748.42,16742.29,16747.68,454
1704194760,16747.68,16748.06,16739.04,16739.31,424
1704194820,16739.31,16741.42,16723.43,16724.42,675
1704194880,16724.42,16731.81,16724.42,16730.05,686
1704194940,16730.05,16732.06,16720.3,16722.41,577
1704195000,16722.41,16724.93,16718.66,16721.31,631
1704195060,16721.31,16726.68,16721.31,16722.8,490
1704195120,16722.8,16723.17,16716.04,16716.29,666
1704195180,16716.29,16724.54,16715.29,16720.79,510
1704195240,16720.79,16721.67,16711.43,16711.56,495
1704195300,16711.56,16711.92,16700.79,16701.3,702
1704195360,16701.3,16705.17,16692.8,16695.3,751
1704195420,16695.3,16695.3,16690.55,16691.18,744
1704195480,16691.18,16697.93,16691.06,16696.93,551
1704195540,16696.93,16705.68,16696.93,16704.3,511
1704195600,16704.3,16708.79,16699.55,16708.04,510
1704195660,16708.04,16709.42,16699.16,16702.16,492
1704195720,16702.16,16703.91,16699.16,16702.56,429
1704195780,16702.56,16702.81,16699.42,16702.05,420
1704195840,16702.05,16710.17,16701.91,16708.68,572
1704195900,16708.68,16711.56,16707.66,16708.66,509
1704195960,16708.66,16716.55,16706.68,16715.43,497
1704196020,16715.43,16716.81,16713.41,16714.66,670
1704196080,16714.66,16715.8,16713.04,16714.81,410
1704196140,16714.81,16716.29,16711.42,16712.18,488
1704196200,16712.18,16714.42,16708.42,16712.3,434
1704196260,16712.3,16717.93,16710.41,16710.41,583
1704196320,16710.41,16714.81,16709.54,16710.18,353
1704196380,16710.18,16715.17,16708.93,16712.42,432
1704196440,16712.42,16716.68,16712.29,16714.17,365
1704196500,16714.17,16718.43,16714.04,16718.17,397
1704196560,16718.17,16722.54,16716.79,16721.8,445
1704196620,16721.8,16723.16,16720.16,16720.66,302
1704196680,16720.66,16723.41,16719.54,16720.68,420
1704196740,16720.68,16721.18,16718.29,16719.92,364
1704196800,16719.92,16722.93,16718.43,16719.43,544
1704196860,16719.43,16721.43,16715.05,16715.66,526
1704196920,16715.66,16719.31,16715.29,16716.91,455
1704196980,16716.91,16718.55,16714.06,16714.91,427
1704197040,16714.91,16715.18,16711.92,16713.06,327
1704197100,16713.06,16715.17,16706.29,16707.41,432
1704197160,16707.41,16707.43,16692.56,16692.68,801
1704197220,16692.68,16702.04,16692.68,16699.91,486
1704197280,16699.91,16703.81,16699.43,16703.04,367
1704197340,16703.04,16710.3,16703.04,16710.16,380
1704197400,16710.16,16712.05,16708.3,16711.66,389
1704197460,16711.66,16716.68,16711.16,16716.67,425
1704197520,16716.67,16718.43,16715.41,16716.68,322
1704197580,16716.68,16717.43,16709.29,16709.68,443
1704197640,16709.68,16714.92,16707.17,16714.54,441
1704197700,16714.54,16715.18,16705.79,16706.06,408
1704197760,16706.06,16706.56,16700.18,16703.43,403
1704197820,16703.43,16704.93,16701.91,16703.31,229
1704197880,16703.31,16703.56,16699.06,16702.18,216
1704197940,16702.18,16702.18,16697.16,16697.31,355
1704198000,16697.31,16699.67,16695.91,16698.8,394
1704198060,16698.8,16704.06,16698.8,16700.68,428
1704198120,16700.68,16706.68,16700.16,16706.16,320
1704198180,16706.16,16711.18,16705.8,16710.41,301
1704198240,16710.41,16712.18,16708.61,16709.91,292
1704198300,16709.91,16711.29,16706.3,16708.3,370
1704198360,16708.3,16712.18,16708.17,16712.04,277
1704198420,16712.04,16712.81,16708.54,16710.67,413
1704198480,16710.67,16711.06,16702.16,16703.05,342
1704198540,16703.05,16705.81,16702.56,16704.66,284
1704198600,16704.66,16704.8,16699.79,16701.68,373
1704198660,16701.68,16707.56,16701.55,16707.16,313
1704198720,16707.16,16707.43,16701.79,16702.29,301
1704198780,16702.29,16707.54,16702.29,16706.17,312
1704198840,16706.17,16708.29,16704.92,16708.16,272
1704198900,16708.16,16708.16,16703.8,16706.93,374
1704198960,16706.93,16707.31,16702.79,16702.8,329
1704199020,16702.8,16703.43,16697.68,16702.41,465
1704199080,16702.41,16702.42,16699.3,16699.67,257
1704199140,16699.67,16702.18,16698.41,16701.41,352
1704199200,16701.41,16702.67,16697.66,16698.8,378
1704199260,16698.8,16704.68,16698.04,16704.3,300
1704199320,16704.3,16705.79,16702.54,16704.92,361
1704199380,16704.92,16706.42,16701.05,16701.3,338
1704199440,16701.3,16701.43,16695.92,16696.05,396
1704199500,16696.05,16701.68,16695.91,16699.54,381
1704199560,16699.54,16699.54,16694.17,16695.04,433
1704199620,16695.04,16695.56,16692.16,16692.79,392
1704199680,16692.79,16694.67,16691.92,16693.05,265
1704199740,16693.05,16694.67,16690.91,16690.91,261
1704199800,16690.91,16693.17,16680.79,16681.79,747
1704199860,16681.79,16683.55,16678.04,16683.42,551
1704199920,16683.42,16684.43,16681.05,16681.91,422
1704199980,16681.91,16683.29,16677.17,16679.42,465
1704200040,16679.42,16681.56,16677.92,16680.42,483
1704200100,16680.42,16681.06,16675.16,16675.29,405
1704200160,16675.29,16680.3,16674.66,16677.43,488
1704200220,16677.43,16677.56,16662.05,16666.8,1144
1704200280,16666.8,16670.18,16666.8,16669.92,457
1704200340,16669.92,16671.18,16668.16,16668.16,408
1704200400,16668.16,16673.42,16664.06,16672.04,709
1704200460,16672.04,16673.79,16665.66,16670.66,539
1704200520,16670.66,16676.04,16670.42,16675.79,442
